Fecha,Precio,Diferencia_precio,Dia_semana,Dia_mes,Precio_ayer
1995-07-20,1.4094347826086957,,3,20,
1995-07-21,4.924333333333333,3.5148985507246375,4,21,1.4094347826086957
1995-07-22,1.2695,-3.6548333333333334,5,22,4.924333333333333
1995-07-23,0.9530833333333332,-0.3164166666666669,6,23,1.2695
1995-07-24,4.305916666666667,3.3528333333333333,0,24,0.9530833333333332
1995-07-25,1.149166666666667,-3.1567499999999997,1,25,4.305916666666667
1995-07-26,1.108625,-0.04054166666666692,2,26,1.149166666666667
1995-07-27,0.5859583333333334,-0.5226666666666666,3,27,1.108625
1995-07-28,0.4997916666666667,-0.08616666666666667,4,28,0.5859583333333334
1995-07-29,0.9276666666666668,0.42787500000000006,5,29,0.4997916666666667
1995-07-30,0.6694583333333334,-0.2582083333333334,6,30,0.9276666666666668
1995-07-31,0.6794583333333333,0.009999999999999898,0,31,0.6694583333333334
1995-08-01,1.1069166666666668,0.4274583333333335,1,1,0.6794583333333333
1995-08-02,1.0775,-0.02941666666666687,2,2,1.1069166666666668
1995-08-03,1.5179166666666666,0.4404166666666667,3,3,1.0775
1995-08-04,1.7860416666666667,0.26812500000000017,4,4,1.5179166666666666
1995-08-05,2.3837916666666668,0.59775,5,5,1.7860416666666667
1995-08-06,2.387583333333333,0.0037916666666664156,6,6,2.3837916666666668
1995-08-07,3.707208333333333,1.3196249999999998,0,7,2.387583333333333
1995-08-08,6.65,2.9427916666666674,1,8,3.707208333333333
1995-08-09,13.991958333333336,7.341958333333336,2,9,6.65
1995-08-10,20.041666666666668,6.0497083333333315,3,10,13.991958333333336
1995-08-11,21.191666666666663,1.149999999999995,4,11,20.041666666666668
1995-08-12,30.71075,9.519083333333338,5,12,21.191666666666663
1995-08-13,34.32783333333333,3.61708333333333,6,13,30.71075
1995-08-14,33.19025,-1.1375833333333318,0,14,34.32783333333333
1995-08-15,14.51325,-18.677,1,15,33.19025
1995-08-16,8.664333333333333,-5.848916666666666,2,16,14.51325
1995-08-17,1.81325,-6.851083333333333,3,17,8.664333333333333
1995-08-18,1.9416666666666669,0.12841666666666685,4,18,1.81325
1995-08-19,1.1018333333333332,-0.8398333333333337,5,19,1.9416666666666669
1995-08-20,2.068041666666667,0.9662083333333336,6,20,1.1018333333333332
1995-08-21,1.4167500000000002,-0.6512916666666666,0,21,2.068041666666667
1995-08-22,0.8993333333333333,-0.5174166666666669,1,22,1.4167500000000002
1995-08-23,1.2360833333333334,0.3367500000000001,2,23,0.8993333333333333
1995-08-24,1.40475,0.16866666666666652,3,24,1.2360833333333334
1995-08-25,1.545958333333333,0.14120833333333316,4,25,1.40475
1995-08-26,1.1338333333333332,-0.41212499999999985,5,26,1.545958333333333
1995-08-27,1.0745416666666667,-0.05929166666666652,6,27,1.1338333333333332
1995-08-28,1.4641666666666666,0.3896249999999999,0,28,1.0745416666666667
1995-08-29,1.803958333333333,0.3397916666666665,1,29,1.4641666666666666
1995-08-30,1.8085833333333328,0.004624999999999657,2,30,1.803958333333333
1995-08-31,1.7189166666666666,-0.08966666666666612,3,31,1.8085833333333328
1995-09-01,1.7589583333333332,0.04004166666666653,4,1,1.7189166666666666
1995-09-02,3.3833333333333333,1.6243750000000001,5,2,1.7589583333333332
1995-09-03,2.245833333333333,-1.1375000000000002,6,3,3.3833333333333333
1995-09-04,10.1685,7.922666666666666,0,4,2.245833333333333
1995-09-05,12.104166666666666,1.9356666666666662,1,5,10.1685
1995-09-06,15.25,3.145833333333334,2,6,12.104166666666666
1995-09-07,15.208333333333334,-0.041666666666666075,3,7,15.25
1995-09-08,15.391666666666666,0.1833333333333318,4,8,15.208333333333334
1995-09-09,14.970833333333331,-0.4208333333333343,5,9,15.391666666666666
1995-09-10,14.933333333333332,-0.037499999999999645,6,10,14.970833333333331
1995-09-11,15.0515,0.11816666666666897,0,11,14.933333333333332
1995-09-12,11.726833333333332,-3.324666666666669,1,12,15.0515
1995-09-13,12.988333333333337,1.2615000000000052,2,13,11.726833333333332
1995-09-14,11.703333333333331,-1.2850000000000055,3,14,12.988333333333337
1995-09-15,11.476833333333332,-0.2264999999999997,4,15,11.703333333333331
1995-09-16,8.51725,-2.959583333333331,5,16,11.476833333333332
1995-09-17,5.4210416666666665,-3.096208333333334,6,17,8.51725
1995-09-18,8.454916666666668,3.033875000000001,0,18,5.4210416666666665
1995-09-19,11.093166666666669,2.638250000000001,1,19,8.454916666666668
1995-09-20,14.25,3.1568333333333314,2,20,11.093166666666669
1995-09-21,11.51875,-2.7312499999999993,3,21,14.25
1995-09-22,11.935416666666669,0.41666666666666785,4,22,11.51875
1995-09-23,10.717708333333334,-1.2177083333333343,5,23,11.935416666666669
1995-09-24,6.15725,-4.560458333333334,6,24,10.717708333333334
1995-09-25,10.896416666666669,4.7391666666666685,0,25,6.15725
1995-09-26,11.8685,0.9720833333333303,1,26,10.896416666666669
1995-09-27,11.722166666666666,-0.14633333333333276,2,27,11.8685
1995-09-28,11.451625,-0.27054166666666646,3,28,11.722166666666666
1995-09-29,11.47525,0.023625000000000895,4,29,11.451625
1995-09-30,14.833333333333334,3.358083333333333,5,30,11.47525
1995-10-01,6.563625000000001,-8.269708333333334,6,1,14.833333333333334
1995-10-02,11.881,5.317374999999999,0,2,6.563625000000001
1995-10-03,12.409208333333334,0.5282083333333336,1,3,11.881
1995-10-04,13.560333333333332,1.1511249999999986,2,4,12.409208333333334
1995-10-05,15.220833333333331,1.660499999999999,3,5,13.560333333333332
1995-10-06,15.395833333333334,0.1750000000000025,4,6,15.220833333333331
